date1,close
2015-02-02,93.71
2015-02-03,92.41
2015-02-04,93.6
2015-02-05,92.55
2015-02-06,91.81
2015-02-09,89.74
2015-02-10,86.29
2015-02-11,85.93
2015-02-12,86
2015-02-13,85.3
2015-02-16,85
2015-02-18,85.59
2015-02-19,85.8
2015-02-20,87.6
2015-02-23,87.57
2015-02-24,87.9
2015-02-25,88.56
2015-02-26,85.4
2015-02-27,88.18
2015-02-28,87.18
2015-03-02,89.8
2015-03-09,86.4
2015-03-10,86.4
2015-03-11,87.04
2015-03-12,86.85
2015-03-13,84.34
2015-03-16,85.07
2015-03-17,84.72
2015-03-18,84.2
2015-03-19,83.41
2015-03-20,82.8
2015-03-23,83
2015-03-24,82
2015-03-25,82.4
2015-03-26,83.8
2015-03-27,83
2015-03-30,83.77
2015-03-31,83.72
2015-04-01,82.72
2015-04-06,82.01
2015-04-07,83.82
2015-04-08,85.17
2015-04-09,84
2015-04-10,84.5
2015-04-13,86.66
2015-04-15,84.5
2015-04-16,83.47
2015-04-17,84.1
2015-04-20,83.6
2015-04-21,86
2015-04-22,89.15
2015-04-23,89.6
2015-04-24,85.75
2015-04-27,84.04
2015-04-28,83.65
2015-04-29,83.37
2015-04-30,82.8
2015-05-04,83.21
2015-05-05,83.21
2015-05-06,80.34
2015-05-12,82.14
2015-05-13,81.18
2015-05-14,80.93
2015-05-15,80.23
2015-05-18,83
2015-05-19,81.92
2015-05-20,82.43
2015-05-21,81.55
2015-05-22,82.32
2015-05-25,81.98
2015-05-26,81.4
2015-05-27,81.54
2015-05-28,80.2
2015-05-29,81.2
2015-06-01,81.8
2015-06-02,79.19
2015-06-03,79.94
2015-06-04,78.5
2015-06-05,78.23
2015-06-08,76.72
2015-06-09,75.37
2015-06-10,77.47
2015-06-11,77.04
2015-06-12,78.02
2015-06-15,76.9
2015-06-16,77.48
2015-06-17,80.7
2015-06-18,79.57
2015-06-19,78.83
2015-06-22,78.8
2015-06-23,78.8
2015-06-24,78.8
2015-06-25,80.24
2015-06-26,83.1
2015-06-29,85.03
2015-06-30,83.61
2015-07-01,90.92
2015-07-02,89.08
2015-07-03,88.76
2015-07-06,90.52
2015-07-07,90.1
2015-07-08,88.82
2015-07-09,89.09
